,Season,Player,MP,PTS,AST,TRB,STL,BLK,TS%,PER,WS,BPM,VORP,USG%,W/L%,Share
162,2015,Anderson Varejão,24.5,9.8,1.3,6.5,0.7,0.6,0.58,17.7,1.9,0.6,0.4,18.1,0.646,0.0
163,2015,Timofey Mozgov,25.2,9.7,0.7,7.3,0.4,1.2,0.594,16.6,5.7,-0.7,0.7,16.9,0.5,0.0
164,2015,Gorgui Dieng,30.0,9.7,2.0,8.3,1.0,1.7,0.573,17.2,4.9,0.2,1.2,15.0,0.195,0.0
165,2015,Robin Lopez,27.8,9.6,0.9,6.7,0.3,1.4,0.574,16.2,5.1,0.1,0.9,15.5,0.622,0.0
166,2015,D.J. Augustin,24.0,9.5,4.3,2.0,0.6,0.0,0.527,13.9,3.4,-1.2,0.4,19.8,0.5,0.0
167,2015,Evan Turner,27.6,9.5,5.5,5.1,1.0,0.2,0.482,12.8,2.5,-1.0,0.6,19.5,0.488,0.0
168,2015,Greivis Vásquez,24.3,9.5,3.7,2.6,0.6,0.1,0.514,12.6,2.8,-1.0,0.5,19.8,0.598,0.0
169,2015,Nicolas Batum,33.5,9.4,4.8,5.9,1.1,0.6,0.516,13.1,5.2,2.1,2.4,14.6,0.622,0.0
170,2015,Mike Dunleavy,29.2,9.4,1.8,3.9,0.6,0.3,0.573,11.6,4.1,0.0,0.9,14.2,0.61,0.0
171,2015,Luis Scola,20.5,9.4,1.3,6.5,0.6,0.2,0.515,16.8,4.4,-0.3,0.7,22.8,0.463,0.0
172,2015,Amir Johnson,26.4,9.3,1.6,6.1,0.6,0.8,0.603,15.4,5.1,-0.1,0.9,15.7,0.598,0.0
173,2015,Isaiah Canaan,20.0,9.2,2.1,1.9,0.6,0.1,0.534,12.4,1.4,-0.8,0.3,21.6,0.5,0.0
174,2015,Marco Belinelli,22.4,9.2,1.5,2.5,0.5,0.0,0.553,12.4,2.9,-1.0,0.4,18.8,0.671,0.0
175,2015,José Calderón,30.2,9.1,4.7,3.0,0.7,0.0,0.519,11.3,0.9,-3.0,-0.3,16.1,0.207,0.0
176,2015,Jason Richardson,21.9,9.1,2.0,3.5,0.7,0.2,0.458,11.7,0.4,-1.3,0.1,21.3,0.22,0.0
177,2015,P.J. Tucker,30.6,9.1,1.6,6.4,1.4,0.3,0.541,12.5,4.9,0.4,1.4,13.9,0.476,0.0
178,2015,Bojan Bogdanović,23.8,9.0,0.9,2.7,0.4,0.1,0.562,11.6,2.4,-1.7,0.1,17.2,0.463,0.0
179,2015,Rajon Rondo,29.7,8.9,7.9,5.5,1.3,0.1,0.448,13.5,1.6,-0.8,0.6,19.5,0.5,0.0
180,2015,Omri Casspi,21.1,8.9,1.5,3.9,0.5,0.1,0.58,14.4,2.7,-0.8,0.4,18.7,0.354,0.0
181,2015,Solomon Hill,29.0,8.9,2.2,3.8,0.8,0.2,0.507,10.2,3.5,-1.5,0.3,15.9,0.463,0.0
182,2015,Elfrid Payton,30.4,8.9,6.5,4.3,1.7,0.2,0.456,13.8,2.3,-1.2,0.5,18.3,0.305,0.0
183,2015,Michael Beasley,21.0,8.8,1.3,3.7,0.6,0.5,0.474,10.6,-0.1,-4.5,-0.3,24.2,0.451,0.0
184,2015,Paul George,15.2,8.8,1.0,3.7,0.8,0.2,0.492,13.0,0.0,-2.2,0.0,32.8,0.463,0.0
185,2015,Devin Harris,22.2,8.8,3.1,1.8,1.0,0.2,0.559,14.8,4.2,1.4,1.4,18.0,0.61,0.0
186,2015,Hollis Thompson,25.0,8.8,1.2,2.8,0.8,0.4,0.538,10.9,2.6,-1.8,0.1,15.9,0.22,0.0
187,2015,Dwight Buycks,20.5,8.7,2.3,2.0,0.5,0.0,0.586,13.1,0.1,-2.6,0.0,20.4,0.256,0.0
188,2015,Boris Diaw,24.5,8.7,2.9,4.3,0.4,0.3,0.526,12.7,3.6,-0.4,0.8,18.3,0.671,0.0
189,2015,Randy Foye,21.7,8.7,2.4,1.7,0.7,0.2,0.51,11.0,1.0,-1.2,0.2,19.3,0.366,0.0
190,2015,Rodney Hood,21.3,8.7,1.7,2.3,0.6,0.2,0.529,12.3,2.2,-0.7,0.3,19.6,0.463,0.0
191,2015,Mason Plumlee,21.3,8.7,0.9,6.2,0.8,0.8,0.57,18.0,4.8,0.1,0.9,19.2,0.463,0.0
192,2015,Tony Allen,26.2,8.6,1.4,4.4,2.0,0.5,0.528,14.6,4.1,1.6,1.5,16.6,0.671,0.0
193,2015,Chris Kaman,18.9,8.6,0.9,6.5,0.2,0.7,0.537,17.3,3.3,-0.8,0.4,22.5,0.622,0.0
